"inventory_type_id","inventory_type_description","min_order_qty","price_per_unit","inventory_sub_type","discount","min_variance","max_variance","auto_renewal_flag","erp_inventory_id","pickup_location_id","umo_value","category","face_value","min_variance_disc","max_variance_disc","tax_plan","dealer_discount","return_policy","due_date","ziada_points","esd_signature","batch_size","prefix","serial_counter","pallet_size","available","w_period","prod_family","price_group","work_category","equip_type","used_stock","sim_card","item_type","vendor_id","type_id","damage_code","service_code","v_item_type","used_item_code","w_avg_ucost","calc_wac","quantity","add_date","prevwavg_ucost","mod_date","v_item_code","v_item_no","available_date","expiry_date","consigment_po","status","DEPOSIT_PRICE","ADD_BY","MOD_BY","national_material_code","wg_material_code","SUB_CATEGORY","weight","return_flag","color","size","is_bundle","parent_id","send_to_bi","remarks"
379.0,"80 SMS",1.0,,L,0.0,0.0,0.0,N,"233",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-14 08:31:09.000,,,,,2022-07-14 02:00:00.000,2122-07-14 02:00:00.000,,,,atadesse,,,,,1,,,,,,,
380.0,"12 Mins On-net_One-Off",1.0,,L,0.0,0.0,0.0,N,"258",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-14 09:26:34.000,,,,,2022-07-14 02:00:00.000,2122-07-14 02:00:00.000,,,,LoadShopuser491,,,,,1,,,,,,,
381.0,"1800Min 7500MB 50sms",1.0,,L,0.0,0.0,0.0,N,"311",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-15 12:32:49.000,,,,,2022-07-15 02:00:00.000,2122-07-15 02:00:00.000,,,,pagure1,,,,,1,,,,,,,
382.0,"125Min 2048MB",1.0,,L,0.0,0.0,0.0,N,"307",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-15 12:33:10.000,,,,,2022-07-15 02:00:00.000,2122-07-15 02:00:00.000,,,,pagure1,,,,,1,,,,,,,
383.0,"1500Min 6150MB 50sms",1.0,,L,0.0,0.0,0.0,N,"310",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-15 12:34:04.000,,,,,2022-07-15 02:00:00.000,2122-07-15 02:00:00.000,,,,pagure1,,,,,1,,,,,,,
384.0,Ethiopia Electronic Voucher 1000,,0.0,L,0.0,,,Y,EVD01000,,,evd voucher,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-15 13:00:24.000,,,,,2022-07-15 13:00:24.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
385.0,Iphone 11 64GB,,0.0,P,0.0,,,Y,ETD20017,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-15 13:00:26.000,,,,,2022-07-15 13:00:26.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
386.0,Ethiopia Recharge Voucher 5,,0.0,P,0.0,,,Y,EVC00005,,,physical voucher,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-15 13:00:27.000,,,,,2022-07-15 13:00:27.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
387.0,Ethiopia SIM Starter Pack - DSA,,0.0,P,0.0,,,Y,ETA00001,,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2025-01-29 15:37:07.000,,,,,2025-01-29 15:37:07.000,2099-12-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
388.0,Stamp Duty,,0.0,P,0.0,,,Y,S-DUTY,,,sim,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-15 13:00:28.000,,,,,2022-07-18 15:20:54.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
